Length;Width;Qty;Label;Enabled
605;300;1;MS1.lat1;TRUE
464;299;1;MS1.jos;TRUE
605;300;1;MS1.lat2;TRUE
464;299;1;MS1.sus;TRUE
464;280;1;MS1.pol;TRUE
605;300;1;MS2.lat1;TRUE
114;299;1;MS2.jos;TRUE
605;300;1;MS2.lat2;TRUE
114;299;1;MS2.sus;TRUE
114;280;1;MS2.pol;TRUE
114;280;1;MS2.pol;TRUE
114;280;1;MS2.pol;TRUE
605;300;1;MS3.lat1;TRUE
964;299;1;MS3.jos;TRUE
605;300;1;MS3.lat2;TRUE
964;299;1;MS3.sus;TRUE
964;280;1;MS3.pol;TRUE
605;300;1;MS4.lat1;TRUE
114;299;1;MS4.jos;TRUE
605;300;1;MS4.lat2;TRUE
114;299;1;MS4.sus;TRUE
114;280;1;MS4.pol;TRUE
114;280;1;MS4.pol;TRUE
114;280;1;MS4.pol;TRUE
605;300;1;MS5.lat1;TRUE
464;299;1;MS5.jos;TRUE
605;300;1;MS5.lat2;TRUE
464;299;1;MS5.sus;TRUE
464;280;1;MS5.pol;TRUE
