Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,605,300,0,MS1.lat1,1,,1,1
1,464,299,0,MS1.jos,1,,,
1,605,300,0,MS1.lat2,1,,1,1
1,464,299,0,MS1.sus,1,,,
1,464,280,0,MS1.pol,2,,,
1,605,300,0,MS2.lat1,1,,1,1
1,114,299,0,MS2.jos,1,,,
1,605,300,0,MS2.lat2,1,,1,1
1,114,299,0,MS2.sus,1,,,
1,114,280,0,MS2.pol,2,,,
1,114,280,0,MS2.pol,2,,,
1,114,280,0,MS2.pol,2,,,
1,605,300,0,MS3.lat1,1,,1,1
1,964,299,0,MS3.jos,1,,,
1,605,300,0,MS3.lat2,1,,1,1
1,964,299,0,MS3.sus,1,,,
1,964,280,0,MS3.pol,2,,,
1,605,300,0,MS4.lat1,1,,1,1
1,114,299,0,MS4.jos,1,,,
1,605,300,0,MS4.lat2,1,,1,1
1,114,299,0,MS4.sus,1,,,
1,114,280,0,MS4.pol,2,,,
1,114,280,0,MS4.pol,2,,,
1,114,280,0,MS4.pol,2,,,
1,605,300,0,MS5.lat1,1,,1,1
1,464,299,0,MS5.jos,1,,,
1,605,300,0,MS5.lat2,1,,1,1
1,464,299,0,MS5.sus,1,,,
1,464,280,0,MS5.pol,2,,,
